University, Score
Massachusetts Institute of Technology, 4.9
University of California--Berkeley, 4.8
Stanford University, 4.8
University of Illinois--Urbana-Champaign, 4.6
Carnegie Mellon University, 4.6
Georgia Institute of Technology, 4.5
University of Michigan--Ann Arbor, 4.3
Cornell University, 4.2
University of Washington, 4.1
University of Texas--Austin (Cockrell), 4.1
Purdue University--West Lafayette, 4.1
Princeton University, 4.1
University of Wisconsin--Madison, 4.0
University of California--San Diego (Jacobs), 4.0
University of Maryland--College Park (Clark), 3.9
Columbia University (Fu Foundation), 3.9
University of Southern California (Viterbi), 3.8
University of Pennsylvania, 3.8
Duke University (Pratt), 3.7
Virginia Tech, 3.6
Rice University (Brown), 3.6
Harvard University, 3.6
University of Minnesota--Twin Cities, 3.5
Texas A&M University--College Station, 3.5
Ohio State University, 3.5
Johns Hopkins University (Whiting), 3.5
Yale University, 3.4
University of Florida, 3.4
University of California--Davis, 3.4
Pennsylvania State University--University Park, 3.4
Northwestern University (McCormick), 3.4
Arizona State University (Fulton), 3.4
University of Virginia, 3.3
University of California--Irvine (Samueli), 3.3
Northeastern University, 3.3
North Carolina State University, 3.3
New York University (Tandon), 3.3
University of Massachusetts--Amherst, 3.2
University of Arizona, 3.1
Iowa State University, 3.1
Boston University, 3.1
Washington University in St. Louis, 3.0
University of Notre Dame, 3.0
Rutgers University--New Brunswick, 3.0
Rensselaer Polytechnic Institute, 3.0
Brown University, 3.0
University of Texas--Dallas (Jonsson), 2.9
University of Tennessee--Knoxville (Tickle), 2.9
University of Pittsburgh (Swanson), 2.9
University of Utah, 2.8
University of Central Florida, 2.8
University of California--Riverside (Bourns), 2.8
University at Buffalo--SUNY, 2.8
Stony Brook University--SUNY, 2.8
Oregon State University, 2.8
Dartmouth College (Thayer), 2.8
Case Western Reserve University, 2.8
University of Rochester (Hajim), 2.7
University of California--Santa Cruz (Baskin), 2.7
Tufts University, 2.7
Lehigh University (Rossin), 2.7
Drexel University, 2.7
University of Illinois--Chicago, 2.6
University of Connecticut, 2.6
Syracuse University, 2.6
George Washington University, 2.6
Colorado State University (Scott), 2.6
Clemson University, 2.6
Worcester Polytechnic Institute, 2.5
Washington State University, 2.5
University of New Mexico, 2.5
University of Delaware, 2.5
Rochester Institute of Technology (Gleason), 2.5
New Jersey Institute of Technology, 2.5
University of Iowa, 2.4
University of Georgia, 2.4
Illinois Institute of Technology (Armour), 2.4
George Mason University (Volgenau), 2.4
University of Texas--Arlington, 2.3
University of Missouri, 2.3
University of Cincinnati, 2.3
Temple University, 2.3
Stevens Institute of Technology (Schaefer), 2.3
Missouri University of Science & Technology--Rolla, 2.3
Michigan Technological University, 2.3
Brigham Young University, 2.3
Binghamton University--SUNY (Watson), 2.3
Auburn University (Ginn), 2.3
University of South Florida, 2.2
University of South Carolina, 2.2
University of Maryland--Baltimore County, 2.2
SMU (Lyle), 2.2
Louisiana State University--Baton Rouge, 2.2
West Virginia University (Statler), 2.1
Wayne State University, 2.1
Virginia Commonwealth University, 2.1
University of Miami, 2.1
University of Massachusetts--Lowell (Francis), 2.1
University of California--Merced, 2.1
University of Alabama, 2.1
Kansas State University, 2.1
University of Oklahoma, 2.0
University of Arkansas--Fayetteville, 2.0
University of Alabama--Huntsville, 2.0
San Diego State University, 2.0
Oklahoma State University, 2.0
New Mexico State University, 2.0
Marquette University, 2.0
Florida Atlantic University, 2.0
Boise State University, 2.0
Villanova University, 1.9
University of New Hampshire, 1.9
University of Louisville (Speed), 1.9
University of Denver, 1.9
University of Alabama--Birmingham, 1.9
Santa Clara University, 1.9
Old Dominion University (Batten), 1.9
Indiana University-Purdue University--Indianapolis, 1.9
University of North Texas, 1.8
University of Nevada--Reno, 1.8
University of Nevada--Las Vegas (Hughes), 1.8
University of Mississippi, 1.8
University of Louisiana--Lafayette, 1.8
Portland State University (Maseeh), 1.8
Florida Institute of Technology, 1.8
University of Memphis (Herff), 1.7
University of Maine, 1.7
University of Arkansas--Little Rock, 1.7
University of Akron, 1.7
Southern Illinois University--Carbondale, 1.7
Saint Louis University (Parks), 1.7
North Dakota State University, 1.7
Montana State University, 1.7
Western Michigan University, 1.6
University of North Dakota, 1.6
University of Alaska--Fairbanks, 1.6
Rowan University, 1.6
University of Tulsa, 1.5
University of New Orleans, 1.5
Oakland University, 1.5
University of Bridgeport, 1.4
